# nodes,no graph,no pair,# ant types,% success/20tests,time(s),(mincut,src,dst
10,0,0,2,60.0,0.13,2.0,0,5
10,0,0,3,20.0,0.18,2.0,0,5
10,0,1,2,100.0,0.09,2.0,6,3
10,0,1,3,100.0,0.11,2.0,6,3
10,1,0,2,0.0,0.15,3.0,7,0
10,1,0,3,100.0,0.19,3.0,7,0
10,1,1,2,0.0,0.11,3.0,7,2
10,1,1,3,25.0,0.17,3.0,7,2
20,0,0,2,95.0,0.24,2.0,6,18
20,0,0,3,100.0,0.44,2.0,6,18
20,0,1,2,0.0,0.16,3.0,15,13
20,0,1,3,70.0,0.31,3.0,15,13
20,1,0,2,0.0,0.14,4.0,5,16
20,1,0,3,0.0,0.25,4.0,5,16
20,1,1,2,0.0,0.19,3.0,1,15
20,1,1,3,60.0,0.36,3.0,1,15
# nodes,no graph,no pair,# ant types,% success/20tests,time(s),(mincut,src,dst
10,0,0,2,0.0,0.13,4.0,5,3
10,0,0,3,0.0,0.19,4.0,5,3
10,0,1,2,0.0,0.23,3.0,7,2
10,0,1,3,50.0,0.32,3.0,7,2
10,1,0,2,95.0,0.3,2.0,6,1
10,1,0,3,100.0,0.39,2.0,6,1
10,1,1,2,100.0,0.28,2.0,4,8
10,1,1,3,100.0,0.43,2.0,4,8
20,0,0,2,85.0,0.59,2.0,5,2
20,0,0,3,100.0,0.93,2.0,5,2
20,0,1,2,25.0,0.62,2.0,1,2
20,0,1,3,75.0,0.94,2.0,1,2
20,1,0,2,0.0,0.3,3.0,10,11
20,1,0,3,0.0,0.46,3.0,10,11
20,1,1,2,15.0,0.43,2.0,5,10
20,1,1,3,30.0,0.61,2.0,5,10
# nodes,no graph,no pair,# ant types,% success/20tests,% partial success,time(s),(mincut,src,dst
10,0,0,2,55.0,45.0,0.1,2.0,7,2
10,0,0,3,100.0,0.0,0.13,2.0,7,2
10,0,1,2,55.0,0.0,0.13,2.0,7,0
10,0,1,3,65.0,20.0,0.18,2.0,7,0
10,1,0,2,100.0,0.0,0.11,1.0,2,0
10,1,0,3,100.0,0.0,0.17,1.0,2,0
10,1,1,2,50.0,0.0,0.14,2.0,1,4
10,1,1,3,35.0,60.0,0.19,2.0,1,4
20,0,0,2,25.0,75.0,0.22,3.0,15,10
20,0,0,3,25.0,70.0,0.33,3.0,15,10
20,0,1,2,100.0,0.0,0.32,1.0,12,11
20,0,1,3,100.0,0.0,0.52,1.0,12,11
20,1,0,2,75.0,25.0,0.25,2.0,1,18
20,1,0,3,60.0,35.0,0.37,2.0,1,18
20,1,1,2,55.0,10.0,0.22,2.0,2,7
20,1,1,3,40.0,55.0,0.36,2.0,2,7
