# nodes,no graph,no pair,# ant types,% success/100tests,% partial success,time(s),(mincut,src,dst
10,0,0,2,40.0,55.0,9.83,2.0,3,0
10,0,0,3,70.0,28.0,16.3,2.0,3,0
10,0,0,4,65.0,35.0,19.55,2.0,3,0
10,0,1,2,100.0,0.0,6.06,3.0,8,0
10,0,1,3,45.0,55.0,9.46,3.0,8,0
10,0,1,4,100.0,0.0,14.18,3.0,8,0
10,0,2,2,75.0,0.0,13.27,2.0,2,6
10,0,2,3,87.0,13.0,20.76,2.0,2,6
10,0,2,4,94.0,6.0,28.16,2.0,2,6
10,0,3,2,100.0,0.0,9.51,2.0,0,4
10,0,3,3,100.0,0.0,15.09,2.0,0,4
10,0,3,4,99.0,1.0,21.63,2.0,0,4
10,0,4,2,60.0,40.0,5.41,2.0,6,1
10,0,4,3,100.0,0.0,8.95,2.0,6,1
10,0,4,4,100.0,0.0,13.31,2.0,6,1
10,1,0,2,100.0,0.0,5.61,2.0,2,7
10,1,0,3,100.0,0.0,9.57,2.0,2,7
10,1,0,4,100.0,0.0,14.16,2.0,2,7
10,1,1,2,18.0,75.0,12.03,2.0,6,2
10,1,1,3,73.0,25.0,18.76,2.0,6,2
10,1,1,4,60.0,40.0,25.89,2.0,6,2
10,1,2,2,100.0,0.0,3.58,3.0,3,5
10,1,2,3,28.0,72.0,5.4,3.0,3,5
10,1,2,4,100.0,0.0,8.61,3.0,3,5
10,1,3,2,16.0,84.0,2.43,3.0,6,3
10,1,3,3,10.0,90.0,4.5,3.0,6,3
10,1,3,4,15.0,85.0,7.09,3.0,6,3
10,1,4,2,58.0,36.0,3.76,2.0,7,1
10,1,4,3,45.0,46.0,7.19,2.0,7,1
10,1,4,4,77.0,20.0,10.8,2.0,7,1
10,2,0,2,100.0,0.0,3.85,2.0,8,2
10,2,0,3,99.0,1.0,6.86,2.0,8,2
10,2,0,4,100.0,0.0,11.09,2.0,8,2
10,2,1,2,100.0,0.0,3.08,4.0,1,0
10,2,1,3,96.0,4.0,5.45,4.0,1,0
10,2,1,4,38.0,62.0,7.96,4.0,1,0
10,2,2,2,100.0,0.0,2.41,2.0,2,1
10,2,2,3,100.0,0.0,4.16,2.0,2,1
10,2,2,4,100.0,0.0,7.11,2.0,2,1
10,2,3,2,100.0,0.0,3.56,2.0,0,4
10,2,3,3,100.0,0.0,6.33,2.0,0,4
10,2,3,4,100.0,0.0,9.86,2.0,0,4
10,2,4,2,100.0,0.0,2.41,4.0,0,1
10,2,4,3,94.0,6.0,4.55,4.0,0,1
10,2,4,4,39.0,61.0,7.7,4.0,0,1
15,0,0,2,73.0,0.0,6.18,2.0,7,9
15,0,0,3,89.0,10.0,10.93,2.0,7,9
15,0,0,4,79.0,20.0,16.45,2.0,7,9
15,0,1,2,0.0,79.0,4.83,2.0,1,4
15,0,1,3,1.0,81.0,9.13,2.0,1,4
15,0,1,4,19.0,51.0,15.43,2.0,1,4
15,0,2,2,0.0,51.0,5.87,2.0,10,1
15,0,2,3,1.0,84.0,12.34,2.0,10,1
15,0,2,4,5.0,69.0,17.83,2.0,10,1
15,0,3,2,100.0,0.0,6.07,2.0,13,2
15,0,3,3,88.0,12.0,10.67,2.0,13,2
15,0,3,4,88.0,12.0,16.92,2.0,13,2
15,0,4,2,56.0,0.0,5.38,2.0,7,4
15,0,4,3,39.0,39.0,10.16,2.0,7,4
15,0,4,4,46.0,36.0,15.21,2.0,7,4
15,1,0,2,100.0,0.0,3.47,2.0,5,4
15,1,0,3,100.0,0.0,6.59,2.0,5,4
15,1,0,4,76.0,24.0,11.22,2.0,5,4
15,1,1,2,69.0,0.0,5.78,2.0,9,5
15,1,1,3,80.0,20.0,10.33,2.0,9,5
15,1,1,4,70.0,24.0,16.7,2.0,9,5
15,1,2,2,100.0,0.0,6.26,2.0,12,3
15,1,2,3,100.0,0.0,11.01,2.0,12,3
15,1,2,4,100.0,0.0,17.05,2.0,12,3
15,1,3,2,100.0,0.0,2.97,2.0,6,4
15,1,3,3,100.0,0.0,6.0,2.0,6,4
15,1,3,4,100.0,0.0,10.62,2.0,6,4
15,1,4,2,100.0,0.0,3.16,2.0,1,4
15,1,4,3,100.0,0.0,6.02,2.0,1,4
15,1,4,4,100.0,0.0,10.22,2.0,1,4
15,2,0,2,100.0,0.0,3.37,3.0,11,8
15,2,0,3,51.0,49.0,6.56,3.0,11,8
15,2,0,4,47.0,53.0,11.44,3.0,11,8
15,2,1,2,87.0,0.0,6.72,2.0,12,13
15,2,1,3,100.0,0.0,10.76,2.0,12,13
15,2,1,4,99.0,1.0,17.56,2.0,12,13
15,2,2,2,100.0,0.0,5.43,2.0,2,0
15,2,2,3,45.0,54.0,11.3,2.0,2,0
15,2,2,4,30.0,68.0,15.47,2.0,2,0
15,2,3,2,84.0,0.0,6.0,2.0,3,12
15,2,3,3,39.0,51.0,11.06,2.0,3,12
15,2,3,4,78.0,22.0,17.74,2.0,3,12
15,2,4,2,0.0,100.0,4.98,3.0,9,5
15,2,4,3,27.0,73.0,8.82,3.0,9,5
15,2,4,4,26.0,74.0,14.44,3.0,9,5
20,0,0,2,9.0,77.0,7.76,3.0,13,10
20,0,0,3,10.0,87.0,14.63,3.0,13,10
20,0,0,4,25.0,64.0,23.27,3.0,13,10
20,0,1,2,26.0,67.0,9.4,2.0,2,15
20,0,1,3,80.0,20.0,17.26,2.0,2,15
20,0,1,4,64.0,36.0,27.26,2.0,2,15
20,0,2,2,5.0,41.0,8.86,3.0,17,1
20,0,2,3,3.0,56.0,16.12,3.0,17,1
20,0,2,4,5.0,61.0,24.21,3.0,17,1
20,0,3,2,8.0,48.0,8.9,2.0,18,1
20,0,3,3,23.0,36.0,15.17,2.0,18,1
20,0,3,4,17.0,55.0,24.1,2.0,18,1
20,0,4,2,91.0,0.0,10.1,2.0,14,0
20,0,4,3,93.0,7.0,17.2,2.0,14,0
20,0,4,4,60.0,37.0,26.72,2.0,14,0
20,1,0,2,100.0,0.0,5.57,2.0,3,14
20,1,0,3,100.0,0.0,11.7,2.0,3,14
20,1,0,4,100.0,0.0,18.84,2.0,3,14
20,1,1,2,62.0,19.0,7.59,2.0,15,8
20,1,1,3,66.0,28.0,13.75,2.0,15,8
20,1,1,4,60.0,34.0,22.06,2.0,15,8
20,1,2,2,100.0,0.0,5.47,2.0,18,10
20,1,2,3,100.0,0.0,11.0,2.0,18,10
20,1,2,4,100.0,0.0,18.96,2.0,18,10
20,1,3,2,21.0,69.0,7.77,3.0,10,2
20,1,3,3,16.0,75.0,14.4,3.0,10,2
20,1,3,4,14.0,77.0,23.23,3.0,10,2
20,1,4,2,0.0,93.0,7.87,3.0,10,12
20,1,4,3,0.0,94.0,14.49,3.0,10,12
20,1,4,4,41.0,55.0,22.9,3.0,10,12
20,2,0,2,69.0,0.0,8.47,2.0,11,13
20,2,0,3,94.0,6.0,15.3,2.0,11,13
20,2,0,4,76.0,21.0,25.09,2.0,11,13
20,2,1,2,42.0,58.0,4.38,2.0,13,15
