# nodes,# links,n° graph,# ant types,% success/5tests
10,3,0,2,20.0
# nodes,# links,no graph,# ant types,% success/5tests
10,3,0,2,20.0
10,3,0,3,20.0
10,3,0,4,40.0
# nodes,# links,no graph,# ant types,% success/5tests,time(s)
10,3,0,2,60.0,17.624585399986245
10,3,0,3,80.0,26.896914800046943
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
10,3,0,2,48.0,181.03
10,3,0,3,62.0,309.52
10,3,0,4,38.0,652.48
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
10,3,0,2,82.0,1.22
10,3,0,3,88.0,2.06
10,3,0,4,100.0,6.64
15,3,0,2,6.0,2.15
15,3,0,3,4.0,3.65
15,3,0,4,16.0,5.55
# nodes,# links,no graph,# ant types,% success/50tests,time(s)
10,3,0,2,72.0,2.62
10,3,0,3,92.0,4.02
10,3,0,4,98.0,5.4
15,3,0,2,8.0,3.64
15,3,0,3,6.0,5.62
15,3,0,4,22.0,8.13
20,3,0,2,28.0,4.42
20,3,0,3,44.0,7.6
20,3,0,4,48.0,11.3
25,3,0,2,12.0,6.88
25,3,0,3,10.0,12.12
25,3,0,4,8.0,18.28
30,3,0,2,4.0,13.28
30,3,0,3,14.0,18.08
30,3,0,4,6.0,27.58
