# nodes,# links,no graph,# ant types,% success/50tests,time(s)
10,4,0,2,0.0,1.02
10,4,0,4,44.0,2.74
10,4,0,6,64.0,5.84
10,4,0,8,82.0,11.08
50,4,0,2,0.0,16.2
50,4,0,4,0.0,52.14
50,4,0,6,0.0,114.35
50,4,0,8,0.0,240.94
100,4,0,2,0.0,58.75
100,4,0,4,0.0,204.52
100,4,0,6,0.0,452.34
100,4,0,8,0.0,899.64
# nodes,# links,no graph,# ant types,% success/50tests,% partial success,time(s)
10,4,0,2,100.0,0.0,2.4
10,4,0,4,54.0,44.0,5.54
10,4,0,6,74.0,26.0,11.07
10,4,0,8,72.0,28.0,20.01
50,4,0,2,0.0,26.0,37.99
50,4,0,4,0.0,12.0,92.62
50,4,0,6,0.0,18.0,126.99
50,4,0,8,0.0,34.0,241.95
100,4,0,2,0.0,2.0,95.4
100,4,0,4,0.0,0.0,274.57
100,4,0,6,0.0,4.0,459.98
100,4,0,8,0.0,4.0,1068.73
