# nodes,# links,no graph,# ant types,% success/100tests,time(s)
10,2,0,2,100.0,4.02
10,2,0,3,27.0,7.02
10,2,0,4,18.0,11.6
15,2,0,2,72.0,7.18
15,2,0,3,54.0,13.17
15,2,0,4,44.0,21.93
20,2,0,2,77.0,12.66
20,2,0,3,36.0,25.44
20,2,0,4,28.0,39.14
25,2,0,2,51.0,20.83
25,2,0,3,51.0,38.38
25,2,0,4,47.0,61.25
30,2,0,2,19.0,27.82
30,2,0,3,18.0,52.02
30,2,0,4,10.0,116.17
35,2,0,2,2.0,38.2
35,2,0,3,1.0,74.12
35,2,0,4,3.0,123.51
40,2,0,2,2.0,44.47
40,2,0,3,2.0,86.42
40,2,0,4,5.0,150.42
45,2,0,2,0.0,62.94
45,2,0,3,1.0,126.66
45,2,0,4,0.0,208.34
50,2,0,2,1.0,70.49
50,2,0,3,0.0,141.89
50,2,0,4,1.0,231.84
# nodes,# links,no graph,# ant types,% success/100tests,% partial success,time(s)
10,3,0,2,100.0,0.0,11.6
10,3,0,3,99.0,0.0,18.76
10,3,0,4,11.0,72.0,32.28
# nodes,# links,no graph,# ant types,% success/100tests,% partial success,time(s)
10,3,0,2,100.0,0.0,4.48
10,3,0,3,99.0,0.0,8.32
10,3,0,4,9.0,78.0,11.71
# nodes,# links,no graph,# ant types,% success/100tests,% partial success,time(s)
10,3,0,2,100.0,0.0,4.67
10,3,0,3,100.0,0.0,8.27
10,3,0,4,18.0,68.0,12.41
15,3,0,2,41.0,59.0,8.2
15,3,0,3,0.0,100.0,14.82
15,3,0,4,0.0,96.0,23.95
20,3,0,2,96.0,4.0,14.28
20,3,0,3,68.0,30.0,26.2
20,3,0,4,25.0,73.0,39.37
25,3,0,2,10.0,89.0,31.28
25,3,0,3,0.0,96.0,55.02
25,3,0,4,0.0,97.0,66.73
30,3,0,2,49.0,40.0,27.17
30,3,0,3,6.0,77.0,51.42
30,3,0,4,9.0,66.0,102.25
35,3,0,2,1.0,98.0,41.52
35,3,0,3,0.0,99.0,76.85
35,3,0,4,0.0,94.0,122.0
40,3,0,2,10.0,48.0,44.06
40,3,0,3,0.0,42.0,84.84
40,3,0,4,0.0,55.0,141.25
45,3,0,2,12.0,83.0,69.65
45,3,0,3,0.0,96.0,131.54
45,3,0,4,0.0,93.0,327.01
50,3,0,2,6.0,35.0,87.29
50,3,0,3,0.0,29.0,171.24
50,3,0,4,0.0,26.0,266.46
