gamma,q_0,freq_opti
0,0.0,100
0,0.1,99
0,0.2,100
0,0.30000000000000004,100
0,0.4,100
0,0.5,98
0,0.6000000000000001,99
0,0.7000000000000001,91
0,0.8,69
0,0.9,29
1,0.0,100
1,0.1,100
1,0.2,100
1,0.30000000000000004,100
1,0.4,100
1,0.5,99
1,0.6000000000000001,99
1,0.7000000000000001,96
1,0.8,91
1,0.9,65
2,0.0,100
2,0.1,100
2,0.2,100
2,0.30000000000000004,100
2,0.4,100
2,0.5,100
2,0.6000000000000001,99
2,0.7000000000000001,93
2,0.8,95
2,0.9,74
3,0.0,100
3,0.1,100
3,0.2,100
3,0.30000000000000004,100
3,0.4,100
3,0.5,98
3,0.6000000000000001,95
3,0.7000000000000001,86
3,0.8,89
3,0.9,80
4,0.0,100
4,0.1,100
4,0.2,99
4,0.30000000000000004,99
4,0.4,94
4,0.5,94
4,0.6000000000000001,85
4,0.7000000000000001,82
4,0.8,69
4,0.9,59
5,0.0,97
5,0.1,98
5,0.2,95
5,0.30000000000000004,99
5,0.4,90
5,0.5,88
5,0.6000000000000001,78
5,0.7000000000000001,72
5,0.8,65
5,0.9,68
